Tên quán,Điểm đánh giá,Địa chỉ quán,Số người review,Link
Gà Vịt Nướng Hạnh Phúc,10.0,"106 Quốc Lộ 13, Khu Phố 2, P. Hiệp Bình Chánh,Tp. Thủ Đức,TP. HCM",7,https://www.foody.vn/ho-chi-minh/ga-vit-nuong-hanh-phuc
Quán Loan - Gà Ta & Vịt Ta,3.2,"172 Hiệp Bình, P. hiệp Bình Chánh,Tp. Thủ Đức,TP. HCM",5,https://www.foody.vn/ho-chi-minh/quan-loan-ga-ta-vit
Vịt Quay Hùng Trang,8.6,"Quốc Lộ 50,Huyện Bình Chánh,TP. HCM",1,https://www.foody.vn/ho-chi-minh/vit-quay-hung-trang
Bánh Xèo Nhân Thịt Vịt - Đường Số 10,8.5,"8A Đường Số 10, Khu Phố 2, P. Hiệp Bình Chánh,Tp. Thủ Đức,TP. HCM",2,https://www.foody.vn/ho-chi-minh/banh-xeo-nhan-thit-vit-duong-so-10
"Hột Vịt Lộn , Trứng Vữa & Trứng Cút Lộn",7.3,"Hẻm C4 Phạm Hùng, Xã Bình Hưng,Huyện Bình Chánh,TP. HCM",3,https://www.foody.vn/ho-chi-minh/hot-vit-lon-trung-vua-trung-cut-lon
Ngọc Lan - Cháo & Gỏi Vịt,_._,"C3/12 Phạm Hùng,Huyện Bình Chánh,TP. HCM",0,https://www.foody.vn/ho-chi-minh/ngoc-lan-chao-goi-vit
"Cút Chiên & Vịt, Gà Chiên",_._,"C10/3A Phạm Hùng,Huyện Bình Chánh,TP. HCM",0,https://www.foody.vn/ho-chi-minh/cut-chien-vit-ga-chien
Hột Vịt Lộn Bình Dân,_._,"A11/09D Quốc Lộ 50,Huyện Bình Chánh,TP. HCM",0,https://www.foody.vn/ho-chi-minh/hot-vit-lon-binh-dan
Bún Măng Vịt - Phạm Viết Chánh,_._,"79/20/4 Phạm Viết Chánh,Quận Bình Thạnh,TP. HCM",0,https://www.foody.vn/ho-chi-minh/bun-mang-vit-pham-viet-chanh
Đặc Sản Lạng Sơn - Gà Nướng & Vịt Nướng Lá Mắc Mật,_._,"C4/19 Phạm Hùng, P. Bình Hưng,Huyện Bình Chánh,TP. HCM",0,https://www.foody.vn/ho-chi-minh/dac-san-lang-son-ga-nuong-vit-nuong-la-mac-mat
Vịt Nướng Lá Mắc Mật - Phạm Hùng,_._,"4 Phạm Hùng,Huyện Bình Chánh,TP. HCM",0,https://www.foody.vn/ho-chi-minh/vit-nuong-la-mac-mat-pham-hung
Hồng Vân - Cháo Gà & Vịt,_._,"C8/5 Võ Văn Vân, Ấp 3, Tổ 12, Xã Vĩnh Lộc B,Huyện Bình Chánh,TP. HCM",0,https://www.foody.vn/ho-chi-minh/hong-van-chao-ga-vit
Phượng Quảng Nam - Gỏi Gà & Vịt,_._,"b11/12 Ấp 2, Võ Văn Vân,Huyện Bình Chánh,TP. HCM",0,https://www.foody.vn/ho-chi-minh/phuong-quang-nam-goi-ga-vit
Cơm Gà Tam Kỳ & Gỏi Vịt,_._,"E1/1 Vĩnh Lộc,Huyện Bình Chánh,TP. HCM",0,https://www.foody.vn/ho-chi-minh/com-ga-tam-ky-goi-vit
Hột Vịt Lộn - Phạm Hùng,_._,"C7D Phạm Hùng, Xã Bình Hưng,Huyện Bình Chánh,TP. HCM",0,https://www.foody.vn/ho-chi-minh/hot-vit-lon-pham-hung
Hằng - Bún Măng Vịt & Cháo - Phạm Hùng,_._,"118 Phạm Hùng, X. Bình Hưng,Huyện Bình Chánh,TP. HCM",0,https://www.foody.vn/ho-chi-minh/quan-hang-bun-mang-chao-goi-vit
