Tên quán,Điểm đánh giá,Địa chỉ quán,Số người review,Link
Cháo Vịt Diệu Trinh - Bún Măng Vịt,9.0,"002 Lô A, Chung Cư Sơn Kỳ, P. Sơn Kỳ,Quận Tân Phú,TP. HCM",5,https://www.foody.vn/ho-chi-minh/chao-vit-dieu-trinh-bun-mang-vit
Gỏi Vịt - Lê Trọng Tấn,6.6,"Vỉa Hè 16 Lê Trọng Tấn,Quận Tân Phú,TP. HCM",8,https://www.foody.vn/ho-chi-minh/goi-vit-le-trong-tan-via-he-cua-hang-thanh-phung
Vịt Quay Đức Ký,5.8,"37 Lê Trọng Tấn, P. Sơn Kỳ,Quận Tân Phú,TP. HCM",4,https://www.foody.vn/ho-chi-minh/vit-quay-duc-ky
Diệu Quyên - Cháo Vịt & Gỏi Vịt,1.8,"14 Lê Trọng Tấn,Quận Tân Phú,TP. HCM",2,https://www.foody.vn/ho-chi-minh/dieu-quyen-chao-vit-goi-vit
Duy Tân Quán - Vịt 8 Món Hà Tây - Cầu Xéo,7.0,"35B Cầu Xéo, P. Tân Quý,Quận Tân Phú,TP. HCM",5,https://www.foody.vn/ho-chi-minh/duy-tan-quan-vit-8-mon-ha-tay-cau-xeo
Mì Vịt Tiềm Thượng Hải,7.2,"50/1 Gò Dầu, P. Tân Quý,Quận Tân Phú,TP. HCM",23,https://www.foody.vn/ho-chi-minh/mi-vit-tiem-thuong-hai
Trần Quang Ký - Vịt Quay Sốt Tiêu Đen - Lũy Bán Bích,7.2,"466 - 466A Lũy Bán Bích, P. Hòa Thạnh,Quận Tân Phú,TP. HCM",4,https://www.foody.vn/ho-chi-minh/tran-quang-ky-vit-quay-sot-tieu-den-luy-ban-bich
"Gốc Thanh Đa - Bún Măng Vịt, Cháo Vịt & Gỏi Vịt",5.0,"195 Gò Dầu, P. Tân Quý,Quận Tân Phú,TP. HCM",1,https://www.foody.vn/ho-chi-minh/goc-thanh-da-bun-mang-vit-chao-vit-goi-vit
Omy - Bún Vịt Nấu Tiêu,5.7,"206/24 Lê Thúc Hoạch, P. Tân Quý,Quận Tân Phú,TP. HCM",5,https://www.foody.vn/ho-chi-minh/bun-nuoc-leo-soc-trang-hoa-chuoi
Quán 68 - Mì Vịt Tiềm,10.0,"68 Nguyễn Văn Vịnh, P. Hiệp Tân,Quận Tân Phú,TP. HCM",1,https://www.foody.vn/ho-chi-minh/quan-68-mi-vit-tiem
