Tên quán,Điểm đánh giá,Địa chỉ quán,Số người review,Link
Cháo Vịt Cô Sáu,6.6,"Hẻm Số 3, 3/1 Nguyễn Văn Lịch, P. Linh Tây,Tp. Thủ Đức,TP. HCM",6,https://www.foody.vn/ho-chi-minh/chao-vit-co-sau
Vịt Quay Như Ngọc,7.3,"13 Lê Văn Ninh, P. Linh Tây,Tp. Thủ Đức,TP. HCM",4,https://www.foody.vn/ho-chi-minh/vit-quay-nhu-ngoc
Quán Loan - Gà Ta & Vịt Ta,3.2,"172 Hiệp Bình, P. hiệp Bình Chánh,Tp. Thủ Đức,TP. HCM",5,https://www.foody.vn/ho-chi-minh/quan-loan-ga-ta-vit
Hà Vịt 2 - Vịt Cỏ Vân Đình,7.0,"10 Khổng Tử, P. Bình Thọ,Tp. Thủ Đức,TP. HCM",7,https://www.foody.vn/ho-chi-minh/ha-vit-2-vit-co-van-dinh
Gà Vịt Nướng Hạnh Phúc,10.0,"106 Quốc Lộ 13, Khu Phố 2, P. Hiệp Bình Chánh,Tp. Thủ Đức,TP. HCM",7,https://www.foody.vn/ho-chi-minh/ga-vit-nuong-hanh-phuc
Bánh Xèo Nhân Thịt Vịt - Đường Số 10,8.5,"8A Đường Số 10, Khu Phố 2, P. Hiệp Bình Chánh,Tp. Thủ Đức,TP. HCM",2,https://www.foody.vn/ho-chi-minh/banh-xeo-nhan-thit-vit-duong-so-10
Hải Ký - Mì Vịt Tiềm,3.7,"38 Tô Vĩnh Diện,Tp. Thủ Đức,TP. HCM",7,https://www.foody.vn/ho-chi-minh/hai-ky-mi-vit-tiem
Dũng Mập - Cháo & Gỏi Vịt - Tô Ngọc Vân,7.5,"339 Tô Ngọc Vân, P. Tam Phú,Tp. Thủ Đức,TP. HCM",2,https://www.foody.vn/ho-chi-minh/dung-map-chao-goi-vit-to-ngoc-van
"Cháo & Gỏi Gà, Vịt - Lê Văn Chí",8.1,"161 Lê Văn Chí,Tp. Thủ Đức,TP. HCM",2,https://www.foody.vn/ho-chi-minh/chao-goi-ga-vit
Trung Hiếu - Hột Vịt Lộn - Tô Ngọc Vân,8.4,"191 Tô Ngọc Vân, P. Linh Đông,Tp. Thủ Đức,TP. HCM",1,https://www.foody.vn/ho-chi-minh/trung-hieu-hot-vit-lon-to-ngoc-van
Thu Thủy Quán - Đặc Sản Vịt Nướng Vân Đình,10.0,"75 Đường Số 9, KP. 5, P. Linh Tây,Tp. Thủ Đức,TP. HCM",1,https://www.foody.vn/ho-chi-minh/thu-thuy-quan-dac-san-vit-nuong-van-dinh
Cô Loan - Cháo Gỏi Vịt,9.6,"39 Đường Số 17, P. Linh Trung,Tp. Thủ Đức,TP. HCM",4,https://www.foody.vn/ho-chi-minh/co-loan-chao-goi-vit
Gà Ta Tam Kỳ 2 - Cháo Gà & Gỏi Vịt,8.0,"4 Đường Số 8, P. Linh Xuân,Tp. Thủ Đức,TP. HCM",1,https://www.foody.vn/ho-chi-minh/ga-ta-tam-ky-2-chao-ga-goi-vit
Gà Nướng Muối Ớt & Vịt Nướng Lá Mắc Mật,_._,"26 Đường Số 17, P. Hiệp Bình Chánh,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/ga-nuong-muoi-ot-vit-nuong-la-mac-mat
Gỏi Cuốn & Vịt Lộn,_._,"107 Lê Văn Chí, P.  Linh Trung,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/goi-cuon-vit-lon
Kim Huyền - Gà & Vịt Nướng Mật Ong,_._,"1008A Kha Vạn Cân, P. Linh Chiểu,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/kim-huyen-ga-vit-nuong-mat-ong
Vịt Quay Như Ý,_._,"20 Lê Văn Ninh, P. Trường Thọ,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/vit-quay-nhu-y
Hột Vịt Lộn & Cút Lộn Xào Me,_._,"51 Đường Số 18,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/hot-vit-lon-cut-lon-xao-me
Quán Cây Bàng - Cháo Vịt & Gỏi Vịt,_._,"30 Lê Văn Chí,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/quan-cay-bang-chao-vit-goi-vit
Cháo Gỏi Vịt Cô Nữ,_._,"46 Dân Chủ,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/chao-goi-vit-co-nu
Dì 5 - Gỏi Cuốn & Hột Vịt Lộn,_._,"2 Đường Số 15, P. Linh Trung,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/di-5-goi-cuon-hot-vit-lon
Phú Ký - Vịt & Gà Nướng,_._,"193 Quốc Lộ 13, P. Hiệp Bình Chánh,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/phu-ky-vit-ga-nuong
Vân Đình - Quán Vịt Nướng,_._,"3 Ngô Chí Quốc, P. Tam Bình,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/van-dinh-quan-vit-nuong
Trung Thành Quán - Lẩu Vịt Mai Quế,_._,"318A Phạm Văn Đồng, P. Hiệp Bình Chánh,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/trung-thanh-quan-lau-vit-mai-que
Cháo Vịt Cô Út,_._,"8 Đường Số 5, P. Linh Trung,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/chao-vit-co-ut
Quán 140 - Cháo Gà & Gỏi Vịt,_._,"140 Đường Số 8, P. Linh Xuân,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/quan-140-chao-ga-goi-vit
Đức Linh - Cháo & Gỏi Gà Vịt,_._,"73 Bình Chiểu,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/duc-linh-chao-goi-ga-vit
Gà Nướng & Vịt Quay Lá Mắc Mật,_._,"1 Đường Số 48, P. Hiệp Bình Chánh,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/ga-nuong-vit-quay-la-mac-mat
Cây Bàng - Cháo Gà & Bún Măng Vịt,_._,"62 Lê Văn Chí,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/cay-bang-chao-ga-bun-mang-vit
Cháo Gà & Bún Măng Vịt - Lê Văn Chí,_._,"151 Lê Văn Chí,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/chao-ga-bun-mang-vit-le-van-chi
Bột Chiên & Hột Vịt Lộn - Hữu Nghị,_._,"3 Hữu Nghị, P. Bình Thọ,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/bot-chien-hot-vit-lon-huu-nghi
"Bách Manh - Bánh Mì Heo Quay, Vịt Quay",_._,"310 Tô Ngọc Vân, P. Tam Phú,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/bach-manh-banh-mi-heo-quay-vit-quay
Cháo & Gỏi Vịt - Quốc Lộ 13,_._,"Quốc Lộ 13, P. Hiệp Bình Phước,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/chao-goi-vit-quoc-lo-13
"Quán Cây Xoài - Hải Sản Tươi Sống, Gà & Vịt Nướng",_._,"16A Đường Số 15, P. Bình Chiểu,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/quan-cay-xoai-hai-san-tuoi-song-ga-vit-nuong
Bún Vịt & Gỏi Gà - Đường Số 7,_._,"65 Đường Số 7, P. Linh Trung,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/bun-vit-goi-ga-duong-so-7
Hào Ký - Mì Vịt Tiềm,_._,"820 Phạm Văn Đồng, P. Hiệp Bình Chánh,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/hao-ky-mi-vit-tiem
"Cháo, Gỏi Vịt & Bún Măng Vịt",_._,"233 Quốc Lộ 13 Cũ, P. Hiệp Bình Phước,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/chao-goi-vit-bun-mang-vit
Vịt Cỏ Chạy Đồng,_._,"13 Đường Số 5, P. Hiệp Bình Chánh,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/vit-co-chay-dong
Mì Vịt Tiềm - Hồ Văn Tư,_._,"107 Hồ Văn Tư,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/mi-vit-tiem-ho-van-tu
"Quán 999 - Tôm, Bạch Tuộc & Hột Vịt Lộn",_._,"26 Đường Số 16,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/quan-999-tom-bach-tuoc-hot-vit-lon
Quán Vịt Ba Chiến - Đặng Văn Bi,_._,"98 Đặng Văn Bi,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/quan-vit-ba-chien-dang-van-bi
Đại Tài - Gà Nướng & Vịt Nướng,_._,"990 Kha Vạn Cân,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/dai-tai-ga-nuong-vit-nuong
Gà & Vịt Nướng Lu - Hiệp Bình,_._,"172A Hiệp Bình, P. Hiệp Bình Chánh,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/ga-vit-nuong-lu-hiep-binh
Vịt Cỏ Phan Thiết Tuấn Mập,_._,"171 Lê Văn Chí, P. Linh Trung,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/vit-co-phan-thiet-tuan-map
Trung Nghĩa - Heo Quay & Vịt Quay,_._,"1311 Tỉnh Lộ 43,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/trung-nghia-heo-quay-vit-quay
