Tên quán,Điểm đánh giá,Địa chỉ quán,Số người review,Link
Vịt Quay Jacky - Mì Vịt & Cơm Xá Xíu,7.2,"504 Lê Văn Sỹ, P. 14,Quận 3,TP. HCM",138,https://www.foody.vn/ho-chi-minh/vit-quay-jacky-mi-vit-com-xa-xiu
Út Thanh - Vịt Quay Tây Bắc,9.4,"109 Trần Quang Diệu, P. 9,Quận 3,TP. HCM",31,https://www.foody.vn/ho-chi-minh/ut-thanh-vit-quay-tay-bac
Quán Vịt Ba Chiến 2,6.7,"796 Trường Sa, P. 14,Quận 3,TP. HCM",4,https://www.foody.vn/ho-chi-minh/quan-vit-ba-chien-2
Vịt Cỏ 202 - Chung Cư Nguyễn Thiện Thuật,9.0,"015 Lô J Chung Cư Nguyễn Thiện Thuật, Nguyễn Thiện Thuật, P. 1,Quận 3,TP. HCM",5,https://www.foody.vn/ho-chi-minh/vit-co-202-chung-cu-nguyen-thien-thuat
Cháo Vịt Liên - Nguyễn Thiện Thuật,7.9,"21/3 Nguyễn Thiện Thuật, P. 2,Quận 3,TP. HCM",91,https://www.foody.vn/ho-chi-minh/chao-vit-lien-nguyen-thien-thuat
Hồng Ký - Mì Vịt Tiềm,5.8,"175/3 Nguyễn Thiện Thuật, P. 1,Quận 3,TP. HCM",3,https://www.foody.vn/ho-chi-minh/hong-ky-mi-vit-tiem
Cơm Tấm Con Vịt Béo,7.1,"41 Nguyễn Sơn Hà, P. 5,Quận 3,TP. HCM",15,https://www.foody.vn/ho-chi-minh/com-tam-vit-beo
"Miến Trộn, Gà Xé & Gỏi Gà Vịt - Chung Cư Nguyễn Thiện Thuật",8.3,"017 Lô C Chung Cư Nguyễn Thiện Thuật, Nguyễn Thiện Thuật, P. 1,Quận 3,TP. HCM",3,https://www.foody.vn/ho-chi-minh/mien-tron-ga-xe-goi-ga-vit-chung-cu-nguyen-thien-thuat
Gỏi Vịt - Quán Ăn Bình Dân,6.6,"104 Vườn Chuối, P. 4,Quận 3,TP. HCM",2,https://www.foody.vn/ho-chi-minh/goi-vit-quan-an-binh-dan
Vịt Chiên Tuyền - Trần Quang Diệu,6.3,"115 Trần Quang Diệu, P. 9,Quận 3,TP. HCM",5,https://www.foody.vn/ho-chi-minh/vit-chien-tuyen-tran-quang-dieu
Hột Vịt Lộn - Cách Mạng Tháng 8,8.0,"368 Cách Mạng Tháng 8, P. 10,Quận 3,TP. HCM",1,https://www.foody.vn/ho-chi-minh/hot-vit-lon-cach-mang-thang-8
Tân Tòng Lợi - Mì Sủi Cảo & Vịt Tiềm,6.7,"311 Võ Văn Tần, P. 5,Quận 3,TP. HCM",195,https://www.foody.vn/ho-chi-minh/tan-tong-loi-mi-sui-cao
Chị Lan - Bắp Xào & Hột Vịt Lộn - Lê Văn Sỹ,3.8,"284/18A, Lê Văn Sỹ, P. 14,Quận 3,TP. HCM",2,https://www.foody.vn/ho-chi-minh/chi-lan-bap-xao-hot-vit-lon-le-van-sy
Sông Trăng Cháo Vịt Sài Gòn - Trần Cao Vân,6.5,"40 Trần Cao Vân, P. 6,Quận 3,TP. HCM",24,https://www.foody.vn/ho-chi-minh/song-trang-tran-cao-van
Cháo Gỏi Vịt - Võ Văn Tần,7.7,"175/4 Võ Văn Tần,Quận 3,TP. HCM",9,https://www.foody.vn/ho-chi-minh/chao-goi-vit-vo-van-tan
Hồng Ký Mì Gia - Mì Vịt Tiềm - Bếp Đám Mây Hoàng Sa,8.5,"947 Hoàng Sa, P. 11,Quận 3,TP. HCM",2,https://www.foody.vn/ho-chi-minh/hong-ky-mi-gia-mi-vit-tiem-bep-dam-may-hoang-sa
Dì 3 - Cháo & Gỏi Vịt,7.2,"383 Nguyễn Thị Thập, P. Tân Hưng,Quận 7,TP. HCM",1,https://www.foody.vn/ho-chi-minh/di-3-chao-goi-vit
Cơm Gà Vịt Xối Mỡ Dách Lòu - Nguyễn Kim,10.0,"33 Nguyễn Kim, P. 12,Quận 5,TP. HCM",1,https://www.foody.vn/ho-chi-minh/com-ga-vit-xoi-mo-dach-lou-nguyen-kim
Bún Măng Vịt - Cơm Trưa 212,8.0,"212 Nguyễn Phúc Nguyên, P. 9,Quận 3,TP. HCM",1,https://www.foody.vn/ho-chi-minh/bun-mang-vit-com-trua-212
Bún Măng Vịt & Hủ Tiếu Xào,1.0,"6 Đại Lộ 3,Quận 9,TP. HCM",1,https://www.foody.vn/ho-chi-minh/bun-mang-vit-hu-tieu-xao
"Cháo Gà, Gỏi Gà & Cháo Vịt",_._,"037 Lô C, Chung Cư Nguyễn Thiện Thuật, Nguyễn Thiện Thuật, P. 1,Quận 3,TP. HCM",0,https://www.foody.vn/ho-chi-minh/chao-ga-goi-ga-chao-vit
Mỹ Lợi Vịt 3 Món - Nguyễn Duy Trinh,_._,"472 Nguyễn Duy Trinh, P. Bình Trưng Đông,Quận 2,TP. HCM",0,https://www.foody.vn/ho-chi-minh/my-loi-vit-3-mon-nguyen-duy-trinh
Quán Gỏi Vịt Ngọc Anh,_._,"88 Đường Số 30, P. 6,Quận Gò Vấp,TP. HCM",0,https://www.foody.vn/ho-chi-minh/quan-goi-vit-ngoc-anh
Tuyền Vịt Chiên Số 1 - Shop Online,_._,"37A Trần Văn Đang, P. 9,Quận 3,TP. HCM",0,https://www.foody.vn/ho-chi-minh/tuyen-vit-chien-so-1-shop-online
Bếp Bà Mập - Hột Vịt Lộn Chiên Giòn,_._,"39 Nguyễn Thượng Hiền, P. 5,Quận 3,TP. HCM",0,https://www.foody.vn/ho-chi-minh/bep-ba-map-hot-vit-lon-chien-gion
Quán 301 - Gỏi & Miến Vịt,_._,"301Bis Tôn Đản,Quận 4,TP. HCM",0,https://www.foody.vn/ho-chi-minh/quan-301-goi-mien-vit
Cháo & Gỏi Vịt - Song Hành Quốc Lộ 22,_._,"77/3E Song Hành Quốc Lộ 22,Quận 12,TP. HCM",0,https://www.foody.vn/ho-chi-minh/chao-goi-vit-song-hanh-quoc-lo-22
