Tên quán,Điểm đánh giá,Địa chỉ quán,Số người review,Link
Kem Xôi Dừa Bu Bu - Phạm Hùng,8.6,"C4/36 Phạm Hùng, Xã Bình Hưng,Huyện Bình Chánh,TP. HCM",6,https://www.foody.vn/ho-chi-minh/kem-xoi-dua-bu-bu-pham-hung
Gà Bó Xôi Viên,7.0,"C4/34 Phạm Hùng, Xã Bình Hưng,Huyện Bình Chánh,TP. HCM",1,https://www.foody.vn/ho-chi-minh/ga-bo-xoi-vien
King - Xôi Chiên - Đường Số 9A,6.0,"44 - 46 Đường Số 9A, Xã Bình Hưng,Huyện Bình Chánh,TP. HCM",1,https://www.foody.vn/ho-chi-minh/king-xoi-chien-duong-so-9a
Xôi Chiên - Cơm Cháy - Bánh Tráng Cuốn,6.8,"C4/13 Phạm Hùng,Huyện Bình Chánh,TP. HCM",2,https://www.foody.vn/ho-chi-minh/xoi-chien-com-chay-banh-trang-cuon
Bánh Mì & Xôi - Chánh Hưng,_._,"4/7A Chánh Hưng, P. 4,Quận 8,TP. HCM",0,https://www.foody.vn/ho-chi-minh/banh-mi-xoi-chanh-hung
Xôi Bình Tiên - Phạm Hùng,_._,"163 Phạm Hùng, Xã Bình Hưng,Huyện Bình Chánh,TP. HCM",0,https://www.foody.vn/ho-chi-minh/xoi-binh-tien-pham-hung
Dinh Ý - Cơm Gà Xối Mỡ,9.8,"2F-2T Đường Số 10, Xã Bình Hưng,Huyện Bình Chánh,TP. HCM",3,https://www.foody.vn/ho-chi-minh/dinh-y-com-ga-xoi-mo
Bánh Mì & Xôi Mặn - Phạm Hùng,_._,"C1/18 Phạm Hùng,Huyện Bình Chánh,TP. HCM",0,https://www.foody.vn/ho-chi-minh/banh-mi-xoi-man-pham-hung
Cơm Gà Xối Mỡ Vi Anh - Đường Số 10,10.0,"2E Đường Số 10,Huyện Bình Chánh,TP. HCM",1,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-vi-anh-duong-so-10
Xôi Bình Triệu,_._,"75 Quốc Lộ 13, KP1, P. Hiệp Bình Chánh,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/xoi-binh-trieu
Cơm Gà Xối Mỡ Frenzy - Vĩnh Lộc A,7.4,"F8/38 Ấp 6, P. Vĩnh Lộc A,Huyện Bình Chánh,TP. HCM",5,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-frenzy-cau-xeo
Cơm Gà Xối Mỡ - Đường Số 5,7.6,"67 Đường Số 5,Huyện Bình Chánh,TP. HCM",1,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-duong-so-5
"Xôi Cụ Nho - Xôi Xéo, Xôi Bắp & Xôi Khúc - Cầu Kênh Xáng",_._,"Chân Cầu Kênh Xáng, Đường 9A,Huyện Bình Chánh,TP. HCM",0,https://www.foody.vn/ho-chi-minh/xoi-cu-nho-cau-kenh-xang
Cơm Gà Xối Mỡ Ánh Vy - Trung Sơn,7.8,"309 Đường Số 9A, KDC Trung Sơn, Xã Bình Hưng,Huyện Bình Chánh,TP. HCM",3,https://www.foody.vn/ho-chi-minh/com-ga-anh-vy
Tuấn Ký - Cơm Gà Xối Mỡ & Sinh Tố,4.3,"267 Đường 9A, KDC Trung Sơn, Xã Bình Hưng,Huyện Bình Chánh,TP. HCM",3,https://www.foody.vn/ho-chi-minh/quan-tuan-com-trua-com-van-phong
Quán Ăn Hùng Xíu - Hủ Tíu Xào & Cơm Gà Xối Mỡ,_._,"A26/4 Quốc Lộ 50, Xã Bình Hưng,Huyện Bình Chánh,TP. HCM",0,https://www.foody.vn/ho-chi-minh/quan-an-hung-xiu-hu-tiu-xao-com-ga-xoi-mo
Cơm Tấm & Cơm Gà Xối Mỡ - Quách Điêu,_._,"C2/11 Quách Điêu,Huyện Bình Chánh,TP. HCM",0,https://www.foody.vn/ho-chi-minh/com-tam-com-ga-xoi-mo-quach-dieu
Vi Anh 2 - Cơm Gà Xối Mỡ & Hủ Tiếu Nam Vang,_._,"34 Đường Số 10, KDC Bình Hưng,Huyện Bình Chánh,TP. HCM",0,https://www.foody.vn/ho-chi-minh/vi-anh-2-com-ga-xoi-mo-hu-tieu-nam-vang
Gia Phát - Cơm Chiên Gà Xối Mỡ,_._,"C6A/31 Võ Văn Vân, Ấp 3A, X. Vĩnh Lộc B,Huyện Bình Chánh,TP. HCM",0,https://www.foody.vn/ho-chi-minh/gia-phat-com-chien-ga-xoi-mo
Công Hậu 2 - Cơm Chiên Gà Xối Mỡ,_._,"1A69/1 Trần Văn Giàu, Xã Phạm Văn Hai,Huyện Bình Chánh,TP. HCM",0,https://www.foody.vn/ho-chi-minh/cong-hau-2-com-chien-ga-xoi-mo
Cơm Gà Xối Mỡ - C1/11/LT Phạm Hùng,_._,"C1/11/LT Phạm Hùng,Huyện Bình Chánh,TP. HCM",0,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-c1-11-lt-pham-hung
