Tên quán,Điểm đánh giá,Địa chỉ quán,Số người review,Link
Bánh Mì - Xôi Gà 56 - Trịnh Đình Trọng,6.1,"56 Trịnh Đình Trọng, P. Phú Trung,Quận Tân Phú,TP. HCM",50,https://www.foody.vn/ho-chi-minh/banh-mi-xoi-ga-56-trinh-dinh-trong
Xôi Mặn Minh Hưng - Độc Lập,7.1,"268 Độc Lập, P. Tân Thành,Quận Tân Phú,TP. HCM",29,https://www.foody.vn/ho-chi-minh/xoi-minh-hung-doc-lap
"Trung - Bánh Tằm Bì, Há Cảo & Xôi Gà",7.6,"5 Hoàng Thiều Hoa,Quận Tân Phú,TP. HCM",18,https://www.foody.vn/ho-chi-minh/trung-an-vat-tra-sua
Hệ thống Nam Việt - Xôi Xéo & Bắp Lá Chuối,9.1,"6chi nhánh,6",26,https://www.foody.vn/thuong-hieu/nam-viet-xoi-xeo-bap-la-chuoi?c=ho-chi-minh
Xôi Cô Như - Shop Online,5.7,"22 Phạm Vấn, P. Phú Thọ Hòa,Quận Tân Phú,TP. HCM",4,https://www.foody.vn/ho-chi-minh/xoi-co-nhu-shop-online
Xôi Gà Xá Xíu Bà Chiểu - Kênh Tân Hóa,4.3,"130A Kênh Tân Hóa, P. Phú Trung,Quận Tân Phú,TP. HCM",24,https://www.foody.vn/ho-chi-minh/xoi-ga-xa-xiu-ba-chieu-kenh-tan-hoa
Gà Bó Xôi Nguyễn Hòa - Nguyễn Cửu Đàm,7.4,"5/1 Nguyễn Cửu Đàm, P. Tân Sơn Nhì,Quận Tân Phú,TP. HCM",1,https://www.foody.vn/ho-chi-minh/ga-bo-xoi-nguyen-hoa
Xôi Chiên 789 - Shop Online,10.0,"Lô D1 Chung Cư Huỳnh Văn Chính 2, P. Phú Trung,Quận Tân Phú,TP. HCM",2,https://www.foody.vn/ho-chi-minh/xoi-chien-789-shop-online
Thùy Linh - Kem Xôi Dừa Thái Lan,6.4,"83B Nguyễn Thái Học, P. Tân Thành,Quận Tân Phú,TP. HCM",13,https://www.foody.vn/ho-chi-minh/thuy-linh-kem-xoi-dua-thai-lan
"Hệ thống Hương Việt - Xôi Xéo, Xôi Bắp & Xôi Đậu Phộng Lá Dứa",10.0,"6chi nhánh,6",1,https://www.foody.vn/thuong-hieu/huong-viet-xoi-xeo-xoi-bap-xoi-dau-phong-la-dua?c=ho-chi-minh
Xôi Tân Mỹ,6.1,"172 Nguyễn Thị Thập, P. Bình Thuận,Quận 7,TP. HCM",2,https://www.foody.vn/ho-chi-minh/xoi-tan-my
Hệ thống Xôi Cô Gái,8.6,"2chi nhánh,2",1,https://www.foody.vn/thuong-hieu/xoi-co-gai?c=ho-chi-minh
Xôi Ngon - Tân Kỳ Tân Quý,7.0,"292/1 Tân Kỳ Tân Quý, P. Sơn Kỳ,Quận Tân Phú,TP. HCM",3,https://www.foody.vn/ho-chi-minh/xoi-ngon-tan-ky-tan-quy
"Đại Dương - Bánh Mì Heo Quay, Bánh Hỏi Heo Quay & Xôi Mặn",6.5,"4D Tân Sơn Nhì, P. Tân Sơn Nhì,Quận Tân Phú,TP. HCM",5,https://www.foody.vn/ho-chi-minh/dai-duong-banh-mi-heo-quay-banh-hoi-heo-quay-xoi-man
"Bánh Mì, Xôi & Cơm Gà Đà Nẵng",10.0,"137 Lê Thúc Hoạch, P. Phú Thọ Hòa,Quận Tân Phú,TP. HCM",1,https://www.foody.vn/ho-chi-minh/banh-mi-xoi-com-ga-da-nang
Xôi & Bánh Tráng Trộn Sa tế,_._,"47 Đinh Liệt, P. Phú Thọ Hòa,Quận Tân Phú,TP. HCM",0,https://www.foody.vn/ho-chi-minh/xoi-banh-trang-tron-sa-te
Xôi & Bánh Mì - Hiền Vương,_._,"45 Hiền Vương,Quận Tân Phú,TP. HCM",0,https://www.foody.vn/ho-chi-minh/xoi-banh-mi-hien-vuong
Xôi Tĩnh - Xôi Gà & Miến Gà,_._,"105 Diệp Minh Châu, P. Tân Sơn Nhì,Quận Tân Phú,TP. HCM",0,https://www.foody.vn/ho-chi-minh/xoi-tinh-xoi-ga-mien-ga
Xôi Sườn A Mập,_._,"313 Thoại Ngọc Hầu, P. Hiệp Tân,Quận Tân Phú,TP. HCM",0,https://www.foody.vn/ho-chi-minh/xoi-suon-a-map
"Xôi Mặn, Xôi Ngọt & Xôi Cúc",_._,"254 Gò Dầu,Quận Tân Phú,TP. HCM",0,https://www.foody.vn/ho-chi-minh/xoi-man-xoi-ngot-xoi-cuc
Xôi Vò & Xôi Gấc,_._,"53 Trịnh Đình Trọng, P. Phú Trung,Quận Tân Phú,TP. HCM",0,https://www.foody.vn/ho-chi-minh/xoi-vo-xoi-gac
Phụng Long - Gà Ta Bó Xôi - Độc Lập,_._,"188 Độc Lập, P. Tân Thành,Quận Tân Phú,TP. HCM",0,https://www.foody.vn/ho-chi-minh/phung-long-ga-ta-bo-xoi-doc-lap
"Quán Cô 3 - Hủ Tiếu, Xôi Gà & Phá Lấu",_._,"265 Tân Kỳ Tân Quý,Quận Tân Phú,TP. HCM",0,https://www.foody.vn/ho-chi-minh/quan-co-3-hu-tieu-xoi-ga-pha-lau
Gà Bó Xôi Bếp BaSon,_._,"37/13 Cầu Xéo, P. Tân Quý,Quận Tân Phú,TP. HCM",0,https://www.foody.vn/ho-chi-minh/ga-bo-xoi-bep-bason
Cơm Gà Xối Mỡ 248 - Trịnh Đình Trọng,9.5,"248 Trịnh Đình Trọng, P. Phú Trung,Quận Tân Phú,TP. HCM",3,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-248-trinh-dinh-trong
Thúy Vân - Cơm Gà Xối Mỡ,5.5,"252 Phan Anh, P. Hiệp Tân,Quận Tân Phú,TP. HCM",2,https://www.foody.vn/ho-chi-minh/thuy-van-com-ga-xoi-mo
Gà Bó Xôi Bếp BaSon,_._,"37/13 Cầu Xéo, P. Tân Quý,Quận Tân Phú,TP. HCM",0,https://www.foody.vn/ho-chi-minh/ga-bo-xoi-bep-bason
