Tên quán,Điểm đánh giá,Địa chỉ quán,Số người review,Link
Gà Bó Xôi Doremon - Quán Ăn Gia Đình,8.5,"44/11/38 Đường Số 12, Khu Phố 9, P. Trường Thọ,Tp. Thủ Đức,TP. HCM",14,https://www.foody.vn/ho-chi-minh/ga-bo-xoi-doremon-shop-online
"Tuấn 7 Kẹo - Bánh Mì, Xôi & Chè",6.5,"147 Hoàng Diệu 2, P. Linh Trung,Tp. Thủ Đức,TP. HCM",24,https://www.foody.vn/ho-chi-minh/tuan-7-keo-banh-mi-xoi-che
Kem Xôi - Làng Đại Học,6.8,"Làng Đại Học, P. Linh Trung,Tp. Thủ Đức,TP. HCM",12,https://www.foody.vn/ho-chi-minh/kem-xoi-lang-dai-hoc
Cô Lùn - Xôi Gà & Bánh Mì,5.4,"44 Lê Văn Ninh, P. Trường Thọ,Tp. Thủ Đức,TP. HCM",9,https://www.foody.vn/ho-chi-minh/co-lun-xoi-ga-banh-mi
Xôi Viên Trứng Muối - Shop Online,7.1,"13/34 Đường 12, P. Linh Chiểu,Tp. Thủ Đức,TP. HCM",6,https://www.foody.vn/ho-chi-minh/xoi-vien-trung-muoi-shop-online
Xôi Hằng - Hiệp Bình,9.4,"32 Hiệp Bình, P. Hiệp Bình Phước,Tp. Thủ Đức,TP. HCM",2,https://www.foody.vn/ho-chi-minh/xoi-hang-hiep-binh
Xôi Bánh Phồng,8.6,"96 Đường Số 17, P. Linh Chiểu,Tp. Thủ Đức,TP. HCM",4,https://www.foody.vn/ho-chi-minh/xoi-banh-phong
Xôi Gà Bà Tư - Kha Vạn Cân,7.2,"Kha Vạn Cân, P. Linh Chiểu,Tp. Thủ Đức,TP. HCM",1,https://www.foody.vn/ho-chi-minh/xoi-ga-ba-tu-kha-van-can
Xôi Thiên Ân K,6.2,"475 Song Hành, P. Trường Thọ,Tp. Thủ Đức,TP. HCM",6,https://www.foody.vn/ho-chi-minh/com-xoi-thien-an
Xôi Hiền Hà Nội - Xôi Mặn - Đường Số 23,10.0,"36/1 Đường Số 23, P. Hiệp Bình Chánh,Tp. Thủ Đức,TP. HCM",1,https://www.foody.vn/ho-chi-minh/xoi-hien-ha-noi-xoi-man-duong-so-23.vydlsm
Nam Việt - Xôi Xéo & Bắp Lá Chuối - Đường Số 5,10.0,"58 Đường Số 5, P. Linh Xuân,Tp. Thủ Đức,TP. HCM",1,https://www.foody.vn/ho-chi-minh/nam-viet-xoi-xeo-bap-la-chuoi-duong-so-5
Anh Mập - Bánh Mì & Xôi Gà,9.7,"36 Đường Số 2 , P. Trường Thọ,Tp. Thủ Đức,TP. HCM",3,https://www.foody.vn/ho-chi-minh/anh-map-banh-mi-xoi-ga
Xôi Gà Hiệp Bình,_._,"74 Hiệp Bình, P. Hiệp Bình Chánh,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/xoi-ga-hiep-binh
Xôi Mặn Cô Trinh,_._,"112 Đường Số 9, P. Trường Thọ,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/xoi-man-co-trinh
Quán Khánh Linh - Kem Xôi & Trà Sữa,_._,"D12 Đường Số 1,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/quan-khanh-linh-kem-xoi-tra-sua
Minh Thư - Xôi & Bánh Mì,_._,"214 Phạm Văn Đồng,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/minh-thu-xoi-banh-mi
Gà Bó Xôi - Tam Hà,_._,"65 Tam Hà,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/ga-bo-xoi-tam-ha
Kem Xôi Dừa,_._,"56/1/2C Đường Số 6, P. Linh Trung,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/kem-xoi-dua
Xôi Gà & Bánh Mì Bé An - Chợ Thủ Đức,_._,"Mặt Tiền Chợ Thủ Đức, P. Trường Thọ,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/xoi-ga-banh-mi-be-an-cho-thu-duc
Cô Hoa - Bánh Mì & Xôi Mặn,_._,"228 Đặng Văn Bi, P. Bình Thọ,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/co-hoa-banh-mi-xoi-man
7 Kẹo - Bánh Mì - Xôi Gà & Phá Lấu,_._,"3 Võ Văn Ngân, P. Linh Chiểu,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/7-keo-banh-mi-xoi-ga-pha-lau
Xôi Xéo & Xôi Mặn - Hoàng Diệu 2,_._,"61 Hoàng Diệu 2, P. Linh Trung,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/xoi-xeo-xoi-man-hoang-dieu-2
