Tên quán,Điểm đánh giá,Địa chỉ quán,Số người review,Link
CƠM GÀ XỐI MỠ QUẬN 6 - Cơm Gà Xối Mỡ - Lý Chiêu Hoàng,9.8,"18C Lý Chiêu Hoàng, P. 10,Quận 6,TP. HCM",24,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-quan-6-com-ga-xoi-mo-ly-chieu-hoang.e2bf5h
Xôi Bình Tiên - Minh Phụng,7.4,"88 Minh Phụng, P. 5,Quận 6,TP. HCM",99,https://www.foody.vn/ho-chi-minh/xoi-binh-tien
Xôi Bát Bửu,6.5,"95A Lý Chiêu Hoàng, P. 10,Quận 6,TP. HCM",7,https://www.foody.vn/ho-chi-minh/xoi-bat-buu
Xôi Xá Bấu,6.1,"137 Phạm Phú Thứ,Quận 6,TP. HCM",2,https://www.foody.vn/ho-chi-minh/xoi-xa-bau
Xôi Sầu Riêng Bánh Phồng - Anh Dũng,6.1,"575 Hồng Bàng, P. 2,Quận 6,TP. HCM",6,https://www.foody.vn/ho-chi-minh/xoi-sau-rieng-banh-phong-anh-dung
Xôi Cô Uyên - Phạm Phú Thứ,8.0,"234/20 Phạm Phú Thứ, P. 4,Quận 6,TP. HCM",5,https://www.foody.vn/ho-chi-minh/xoi-co-uyen-pham-phu-thu
Xôi Bát Bửu & Xôi Sầu Riêng - Phạm Đình Hổ,9.4,"101/35A10 Phạm Đình Hổ,Quận 6,TP. HCM",1,https://www.foody.vn/ho-chi-minh/xoi-bat-buu-xoi-sau-rieng-pham-dinh-ho
Xôi Gánh - Hậu Giang,6.0,"7A Hậu Giang, P. 2,Quận 6,TP. HCM",1,https://www.foody.vn/ho-chi-minh/xoi-ganh-hau-giang
Xôi Đũa,7.9,"41/16 Nguyễn Oanh,Quận Gò Vấp,TP. HCM",8,https://www.foody.vn/ho-chi-minh/xoi-dua
"Hồng Liên - Xôi Mặn, Bánh Mì & Bánh Bao",6.7,"1076 Hậu Giang,Quận 6,TP. HCM",3,https://www.foody.vn/ho-chi-minh/hong-lien-xoi-man-banh-mi-banh-bao
Hẻm 696 - Xôi & Bún Riêu,7.2,"287 Ấp Chiến Lược, P. Bình Hưng Hòa A,Quận Bình Tân,TP. HCM",3,https://www.foody.vn/ho-chi-minh/hem-696-xoi-bun-rieu
Xôi Chè Bà Ba,7.6,"79/56 Tân Hòa Đông, P. 14,Quận 6,TP. HCM",1,https://www.foody.vn/ho-chi-minh/xoi-che-ba-ba
Xôi Hoa Thị - Huỳnh Tấn Phát,10.0,"615 Huỳnh Tấn Phát, P. Tân Thuận Đông,Quận 7,TP. HCM",1,https://www.foody.vn/ho-chi-minh/xoi-hoa-thi-huynh-tan-phat
"Quán Ăn Cô Ba - Xôi, Nui Xào & Mì Xào - Shop Online",10.0,"10/3 Đường Số 14, P. 11,Quận 6,TP. HCM",1,https://www.foody.vn/ho-chi-minh/quan-an-co-ba-xoi-nui-xao-mi-xao-shop-online
Xôi Bánh Mì Hồng Ánh - Ăn Vặt - Minh Phụng,7.2,"82 Minh Phụng, P. 5,Quận 6,TP. HCM",1,https://www.foody.vn/ho-chi-minh/hong-anh-xoi-banh-mi
Xôi Gà 649,_._,"649 Đường 3 Tháng 2, P. 6,Quận 10,TP. HCM",0,https://www.foody.vn/ho-chi-minh/xoi-ga-649
Chị Mai - Bánh Mì & Xôi Thập Cẩm,_._,"334 Hậu Giang,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/chi-mai-banh-mi-xoi-thap-cam
"Bánh Ướt, Bánh Mì & Xôi Mặn",_._,"527 Lò Gốm, P. 9,Quận 6,TP. HCM",0,https://www.foody.vn/ho-chi-minh/banh-uot-banh-mi-xoi-man
